ImageInstanceUID,width,height
75aed394a4e4,2012,2012
f658eafd6b22,2149,2022
b475067fe7a9,4240,3480
1c71a9226bbe,4248,3480
b36981909f0f,3408,2800
02c054cac191,4240,3480
26961b11cd95,4256,3488
383bcd1c7a6e,4240,3480
1444611cf962,2798,2801
b7f123e4992f,3480,4240
5a343fdced42,2832,2320
b3ffe59e37c7,3056,2544
103d0b0c7095,2236,2146
1b369b36f933,2810,2801
000c3a3f293f,2832,2320
11fba2355a5f,4240,3480
77118f891024,4256,3488
6c29f6e817a2,3488,3488
826bb532c3dc,4240,3480
814bfd9a5e34,2596,2336
43ef8c8a927f,2802,2801
00b0891276a3,3048,2536
e7769e0ae31e,4248,3480
6e50d72d9cca,2140,1760
8781cca298b5,2802,2801
721efb1d26f9,2832,2320
5d395fff6278,2836,2336
4dd9a462b193,1387,1140
68fcf433c6fe,2872,2416
9ae2cde33d08,4240,3480
3ea3a128a4be,2836,2336
895ee33c70a1,2832,2320
7a27260fe703,4240,3480
badd3bbd0552,3020,3052
a951ab295c6e,4240,3480
a84b6afbf1f0,2820,2336
ad22bba45d10,4256,3488
c3b136c11bc4,4240,3480
cc54237ef4db,2880,2400
c6e4a9162e0c,2012,2012
967e6bc69610,3032,3032
d7dba10f4f14,2992,2991
b70e58bfaa55,4248,3480
230acf0ec94a,2880,2540
cedb3b72e9f1,2693,2338
d2d1058fb70c,4891,4020
b47854f5e717,2832,2320
0919a3b8af01,2872,2416
c5c3110fee67,4256,3488
23a5144c8749,2836,2278
b97828a952ab,2856,2043
061797f81be0,3408,2800
682dc5e0de25,3048,2536
7ab08582b201,4240,3480
bc21df79edc9,4248,3480
ac92f478c77e,3027,2516
8c5ed871aaba,4248,3480
2268ed37b205,2539,3050
e205526f7405,4248,3480
f6bf866f227e,2992,2585
1ae2c3d63f1c,4248,3480
8cbf85033da8,3056,2544
ca6a63a554c7,4256,3488
29a6a36c2d8c,4248,3480
081c8b609ab0,3050,2539
eeef8cafe0b0,4240,3480
959167b5226d,3048,2536
d63b0439fe6b,4256,3488
edfa7e192393,2836,2336
b3b4c3900554,4256,3488
705b277c5f03,4256,3488
cc464aea86d7,2754,2687
2acd4488ecb9,2802,2801
041c956d9bd7,4240,3480
01b3d67779e8,2802,2801
ad57016e19dc,3408,2800
17cbffe655d2,2836,2336
09c6d5c914e2,2930,2800
f37c151bbfbe,2657,2447
951b29c69002,2473,2858
91f214e069e6,3408,2800
72d9c3f33aeb,4256,3488
9909fc28ecfe,3032,2436
75c9fe12ad0f,4248,3480
0b9ba021bb79,4256,3488
4462bf606651,3050,2539
d2ac016a5dca,2836,2336
b4e79f33047e,3144,3117
c6786dd8d5c9,3056,2544
4ebb6fbe0720,3032,2436
e60f62d9a8a5,2554,2068
c0029eae23ca,2836,2336
31ba70406e2f,4891,4020
41b1d441dcde,2798,2801
171561486151,3056,2544
9b1de1c45491,2836,2336
a29648f7c9c0,2140,1760
34422c5a6860,2828,2336
b8f98967f667,3050,2244
e584fc8f38ed,4240,3480
8ae04761045f,4248,3480
70fbcd6dcc53,2836,2336
d80896edf7a7,3032,2520
0811fe666ab0,3408,2800
c75a63bfc10c,3050,2539
816c386cdbb2,4256,3488
b73da4bea501,2446,2010
2f3daae72dc2,2836,2336
f664c8a1ec01,1387,1140
7d1b84ddc4c3,2140,1760
7d5586dcd57d,3050,2539
1419506711be,4240,3480
d613c07a006e,2534,2391
1db458e46996,4256,3488
6970c59656c9,2836,2336
e496735126c2,3048,2536
90812c4dd213,4256,3488
e95084202c1b,2924,3052
2d67d7a11651,2836,2336
dd0c29a10a05,3032,2520
dfc7b258312f,2995,2939
b5aa6189d142,3032,2520
b8b0eda83a15,2836,2336
0edcec25f01f,4240,3480
28e9e044dc31,4240,3480
d60594828264,3001,2991
d74b9368cbe5,2320,2828
01c6d2e4f936,2880,2400
d35d8ed1759c,2703,2776
8128e3db6050,1387,1140
72df8e8bb056,2872,2416
58f67fe862b2,1387,1140
5bfc7dcc9cba,3488,3488
89ef2d725761,3032,3032
36cc02471131,3000,3000
45f0608b7850,3032,3032
5bbc12c5236d,3408,2800
ba375ad92c5f,3408,2736
20399ed905d4,4248,3480
960be5d120af,2832,2320
af2498dbd298,3050,2539
7d27b1bb3987,3032,2520
a323f1604ae2,2846,2330
d7d0138bede7,3079,2776
45396bf8a4d3,2140,1760
a39667fe9a81,2991,2951
3be7ffcec513,2563,2311
2f973757eaa4,3056,2544
49664f078f0e,2991,2951
9a921b34dbc6,2680,2522
a2bee395c8da,2772,2061
fc9d227a2b94,2948,2423
a89fdec5dee1,3000,3000
a3703b3c8ce6,4248,3480
0c1403037838,2836,2336
bda89395eab6,4248,3480
6d2fe511f8b2,3050,2539
361d47f4b4ea,3408,3320
0ef8c0a14990,4248,3480
af87853a19c9,3480,4240
dd2a5a29876f,2828,2336
1e2ab5bceffb,3408,2736
79d7fa3b6e57,2836,2336
28322cd5b3a4,2836,2336
ba3e8e808857,4248,3480
5c1e736c0af9,1885,2022
27c31f4e3bda,2012,1539
8ea57eaf946f,3052,3012
d5f0bdb57205,3048,2536
4dccb4bc9142,2140,1760
aad814e52627,3032,2520
86e2affffb19,4240,3480
c7d100353f74,3408,2704
78148afc0575,3056,2544
9cb77d59b14a,3408,2800
17a60b0ea938,4240,3480
e0e16dc820e6,2836,2336
c8156ae4d6e8,2832,2320
65d1ea45af3f,2832,2320
c94edfdcff7d,3056,2544
6d9134de90e0,2846,2330
82ad2f6b6dd1,2900,3052
c0400d0e413d,3056,2544
41e9a794b342,3056,2544
5f4b00225aaf,2836,2304
feb0c29bda19,3032,2436
52bde750c1e8,3032,2436
4252fa42711c,4248,3480
fa5803549fe5,2836,2336
51d04316f2c9,2838,2662
e0880503aa10,2802,2801
05be0f039257,4248,3480
6a1001b99a50,2846,2330
90cc4d0bee82,3050,2539
19bb8638b7cf,4256,3488
852297c9ca63,2802,2805
f55d58936e04,2836,2336
d3144d61bc30,4256,3488
4f0b6e8557db,2534,2957
a36914ee5d44,4256,3488
d91acd41cafa,3050,2539
79dc218459f6,2544,3056
4726a3f0a035,3050,2539
736238adb87c,2836,2336
5b7339345256,2840,2874
dcd8c561f8f5,3056,2544
145a417465f1,4248,3480
c4e28a18baf9,1665,1766
a44c44fa9847,4248,3480
208bfef6dbb4,3072,2560
e3c5df807bcb,2776,2874
caf8f9b34ef7,3052,3052
4bed2e06f7d8,4891,4020
df0fe96fc60a,4240,3480
f6462d1bf586,3408,2800
f80f9bebe43e,2828,2320
7d70c13f0e0b,4248,3480
d00a82ee79f8,2380,2336
783b1efb5675,3408,2800
559896adc701,3050,2539
0c1ba97ad7c8,2982,2989
722d5b23e31e,3032,2520
e3ab2d72cac2,4240,3480
e31fc5148d42,4891,4020
4aadd235fc9c,3056,2544
6a8ed4525b97,3000,2918
23c2d6fc7a7f,2880,2540
5db180cd24c5,2992,2801
eb476aabf2b0,4240,3480
5aaf506a4d0c,2836,2174
7bec31816053,2838,2662
5c8f79dd7cf6,4240,3480
7a596c4c3888,4248,3480
65b2468a585d,2544,3056
3dc1c735c130,3408,2800
42c79b2cde7f,2012,2022
fb5d173c4c47,3048,2536
b2d8fe7955e2,3408,2498
d7bfa952bccd,4020,4891
61ca700c2908,4240,3480
d1547120e12a,3408,2800
31cc2efa4440,4256,3488
6d47700cf105,2586,2251
ae02ee030e68,4240,3480
89bc34f78d96,2832,2320
fd46baeed64d,2953,2298
b0294a5bd0d4,3056,2544
eb13bcf19cff,2836,2336
6813965b522a,2836,2336
56d2c0ca14f8,3032,2436
fde3cfe9c056,2880,2540
f3ce7a4cfd20,2846,2330
564cfd4e8fab,2880,2540
3d8da6e1d529,4240,3480
2eea8324e7c9,2880,2540
b13582b26a48,4256,3488
3e63eefbf3d6,3480,4240
09edc6b22778,2880,2400
0f75cc926071,4280,3520
59385cbc5780,2620,2744
d787c9bd4fa8,4240,3480
ea61cc6a35c5,2757,2704
5bad56698f31,2140,1760
b14aa9495194,2836,2336
558cf3abe42d,3056,2544
66dabc6f972d,4240,3480
f7a487473bd8,4256,3488
351408fde323,2836,2336
8a80cfa63a23,4248,3480
477cf68a3140,3050,2539
700fab8a4486,1387,1140
6d2ae3ccd741,2992,2989
8df453b7557c,2880,2540
4fd7260073e2,3052,3052
c96a6b9bba47,1387,1140
517d390f87c2,2846,2330
807656417522,4240,3480
f78ae37a7cbf,4248,3480
55c9ffe72cc5,3072,2560
525b5548d3f3,2836,2336
705eea360dd8,4240,3480
370d879b8325,3031,2645
4118f9b2265d,3056,2544
d49812750c70,4248,3480
07ce8310154d,4248,3480
0e0892456b39,3048,2536
255cee313786,2836,2336
fbb36b796d78,1840,2032
e5fc2fa92e65,3027,2516
08dc9d73dc6e,3480,4240
43886e889b39,2880,2400
d6ab7b6fd285,4240,3480
b1cc44d4ce86,2990,2801
39429f784da2,4240,3480
2e843c5e5ab4,3032,2436
996f6025fc65,2832,2320
b3238380acef,4891,4020
1df3e98f79be,3028,2331
312566b9d20b,2544,3056
f9ca8e646819,3072,2560
4d4ea8834362,3050,2539
47660080f1bc,2446,2010
19e2b773fd8e,3050,2539
8ec412c03bbb,4256,3488
46e8e5b9ac76,2836,2336
b76e6895fdd6,2980,2916
85752d3c99e3,2846,2330
146113cf4eec,3050,2539
72b3a9d784f7,4240,3480
a98318b68937,3032,2436
e7e072c73e1d,3521,3137
5dc6cae78c63,4240,3480
19ef72ca62b8,3007,2292
0ae132603ba7,3056,2544
ed9855c3cf17,4248,3480
3cde0ddf01c7,3032,2520
fe9d1086b64d,3032,3032
9ff1a3671dca,3056,2544
57b2146108dd,4240,3480
2a4cc75d97c1,2832,2320
cf0cdff4ef2e,3521,3137
d014ad56b323,3408,2800
87adda1908f9,2606,2418
4c795028272e,2520,3032
1e480c241382,4256,3488
c0ee6a0f2866,2836,2336
ce38c6e5595f,2446,2010
2b77161dd937,4891,4020
11df831cbf94,4248,3480
c9cbab24db6c,2836,2336
5ab1ec037d9b,2846,2330
d3885c0f58bb,3032,2520
433640e6ea5e,2140,1760
7be323e5f816,2836,2336
76e7878d290d,4240,3480
4222f6adbc07,2836,2336
697eaa2d79b5,3032,2520
95e2769d4d84,3368,3071
d9836a416645,2633,2453
34e9cf30e433,2802,2801
fe41376fa23f,2648,2486
f65a89690c7f,2832,2320
c3d01e67c3fd,2832,2320
40cef701a0c7,2140,1760
cdaa750da0ce,3056,2544
3f33c8d988eb,2840,2874
2881f8699879,3056,2544
7382990f8d70,2404,2381
e007bc90c441,3048,2536
599f1be4d84a,2798,2801
555db1c9e816,4240,3480
a7e5d6de0277,3032,2436
b6f989cfd190,4248,3480
57675376af04,4248,3480
c7e30d6294b7,2551,2510
70e8d5a5a9c2,3006,3006
e4e05d181762,4240,3480
ce791c49771d,4240,3480
605e2fde958f,3032,2520
985d4c05cfaa,4256,3488
80ba3cec802d,2992,2801
12384ae3a66c,3056,2544
67abaa5570f0,2012,2012
e0d7c56c8ffb,2832,2320
228083cd85ef,4248,3480
518ddd59e1b1,2748,2158
c59ab706e4eb,4248,3480
be8e7e925b95,4256,3488
6f90c979c527,3056,2544
cd3069af4dbf,2836,2336
8c2bed5e6c87,2836,2336
9eae69715819,4256,3488
0452c373f62b,3032,2520
6ae5b0d0b1e3,2446,2010
831b4f061daa,3050,2539
3e916851115e,3028,3052
26371e3cbab2,3056,2544
8ddef4d6b60e,2782,2330
9b69deb4f9f5,4256,3488
46bf2b62ad40,2872,2416
eb547e6f6380,2802,2991
42a5b52fe13e,3408,2800
fab0ab9d7d17,2660,2180
db5195cb50c4,2846,2330
cdd9062fb558,2800,2874
ebaf0b87f30b,4240,3480
136706e3576c,1739,1624
a535619f97fc,3056,2544
db05dcc42d75,3056,2544
5c8f5e53c8e8,2832,2320
de2b4341f585,2836,2320
f45b99a2e9bb,4248,3480
114f7ffd769b,2880,2400
b77e1333a2b3,3056,2544
9f15d03a8090,4240,3480
916b23b7b444,2725,2351
1679d20fa0bc,4248,3480
286d9132f875,2825,2516
81eb2ea84b8a,2836,2336
b9485f42b2be,2880,2540
4d8739e124ae,4248,3480
00fb65888ddf,4256,3488
757ef6d4f79d,2880,2540
e407061c0811,3032,2520
c544394abc5b,3001,3001
42e7ecc6fdb0,2832,2320
fe330230f196,2832,2320
c8f108eed552,3048,2536
fbbd69e1d82a,2788,2336
3c8d9df532be,4891,4020
a997a9c0f53d,1387,1140
c99a7577bab8,1387,1140
425dff2ff13a,2880,2540
538a679fde63,2837,3005
010433f32857,4256,3488
34a0ef23101b,2846,2330
1c1069c57757,2814,2661
4f1d49fe071e,2836,2336
c50e0646d520,2832,2320
920d7ef35702,2431,2010
3615df9cfc90,2836,2336
8251f9806fb0,2784,2309
bdd3115879aa,2814,2661
407bc7059973,2428,2428
111db05241ac,3215,2770
588ffbef2de4,4256,3488
0e2691505e53,3408,2800
e93409a79fed,2720,2658
b7f8f012a3c4,4248,3480
3fbb832d4c87,4240,3480
c59a5aaf618a,2836,2336
eeee42a62e29,3032,2520
cfdedbaaaee1,3050,2539
01e2538deeb0,3056,3198
d7db812249f2,2140,1760
010214f9b600,3050,2539
6c3ba0593a7f,4256,3488
629c9a257b43,2706,2507
bcac9a883c18,4240,3480
af718ae2118f,4240,3480
b15f9aba72df,2836,2336
032f2ab06cad,3060,2548
a6fae815f05c,3032,3032
90a509d16478,2247,1855
7a2cf7f59bf2,3408,2800
48e1fae4be03,3056,3198
600343c20434,2992,2991
0a5f36296cb0,2832,2320
851933322ae3,4256,3488
72fea14661d6,2836,2336
3b61bb40b6e6,2840,2874
826809ca9b77,3408,3320
8fa48096e899,3032,3032
273722673feb,3032,2436
42833e3ae880,2802,2801
bb9d393dac2a,4248,3480
d0cd2a804d30,2709,2292
b787026584e5,3050,2539
8b8af1943344,4256,3488
a8013eaf16c1,4240,3480
7b979a04f903,2836,2902
1341faa82b28,2832,2320
c2da0b11f38c,1387,1140
4e8f69e4ffa4,3056,2544
510130dcc27b,3153,2800
743bc62aeec7,2880,2540
5cc8517b8a2e,2992,2991
12b7dd8452de,3032,2520
746412688bc8,1387,1140
33889ee019d8,2539,3050
6518bc37bfd4,2802,2801
a2c9c721234d,2832,2320
075e8abf2787,4240,3480
07cd26298a41,4248,3480
1ffe706d3d5f,2836,2336
75d3e8c3ba44,3056,2544
8e34d5a81ed5,4248,3480
0a0cbc610620,4240,3480
575135cef005,3032,2520
63055d008dc5,2832,2320
60d69018d5d9,3032,2436
d757723d3d08,3408,2800
e056355bc1d6,4280,3520
f3b38af3f836,3032,2520
19c6397cdec9,3153,2800
eb32f1993410,1711,1833
c349e6255ad0,2840,2874
7438bacffa46,3056,2544
88e7702b49c4,3027,2227
ba9f623ebe24,4248,3480
a226584b9b79,2998,2825
1bc78cb7940f,3032,2436
d56ae2c39ca7,3056,2544
f72847c072e2,4240,3480
e17affefd696,2802,2801
5a8cc48014b0,3056,2544
972de759ed96,4240,3480
a465d6d95cea,2872,2416
06cda92a097d,4256,3488
15b5985239ef,3408,2800
d1a19bb60b86,3050,2539
1338eda32f9b,2798,2801
f9dc0aa39223,4248,3480
b00dd3cc3d28,4240,3480
fdd63e69cc58,3050,2539
636a0393e9cb,3008,3072
cc708f2aaffe,3056,2544
137a87bd3167,4248,3480
4b78153f9d46,4248,3480
347de7200418,3032,3032
a5483e0618a0,3032,3032
0e26ead8f1e3,2836,2336
22bcd97abb8f,2428,2132
bdba412f52c0,4256,3488
3a1ffb337517,4256,3488
a6a58e69de4d,2802,2801
0726c56e706d,2832,2320
370dfa7600d1,4240,3480
24d19850993e,3408,3320
1e71e818fe22,2545,2874
6ecd31b63948,3032,2436
81cd26817de5,3050,2539
8234d09049b4,2553,1856
b89ad152da0f,1387,1140
9811c7e34bb1,3032,2520
47c8a5b7ae3e,2836,2336
462a64ef01e3,2377,2377
fe48a35656bd,2846,2298
33cf2c834c40,2836,2336
5b8bdee6eb31,3032,2436
4e647a32aae9,4256,3488
3d12cb6aad8b,2022,2022
d6a56e79a52d,2828,2320
dfb5a0d35d11,3032,3032
ff0743bee789,2446,2010
9c24e37a0ef5,2012,2012
ec0b8be00731,3408,3320
d93f9cc993b5,2880,2540
35668e854c9b,2287,2271
62cce89dbca8,2802,2801
655c08079be0,2431,2010
8ceb3de931e3,2836,1995
f30c28a6a8a7,2836,2336
949b1f4cb6fa,3050,2539
41a7ff73aade,2836,2336
18debd568fd4,2802,2801
c25fdb0d8cc8,4240,3480
576bb6054ad3,2836,2336
3606c8d8ee4b,3056,2544
186681f1cb60,2992,2801
d002491b818b,2846,2170
45572172c88f,3032,2436
2a7bfd5ed6a7,3050,2539
1edbe4714f77,3056,3198
ce4ebf7d1a0c,4240,3480
dcab5588736e,3050,2402
227871aa5e4e,2954,2462
a6c10c2ecfda,2836,2336
db0ae0387f05,4256,3488
b9d1d8e17e50,2872,2416
44068b46afcd,3050,2539
792439879a2d,4256,3488
e3f8e3a3baa3,2836,2336
c6382003a589,2705,2213
daa6b0143835,2836,2336
8b8c02c85740,2544,3056
64d4b73ba370,2880,2540
7f24746a7a53,2660,2180
99c94e6bfcb3,2140,1760
66beec6db90c,2836,2336
6ee800f17ea5,2832,2320
041089ce263a,2836,2336
8a42e4e9d811,3488,3488
e9c200e6ae54,3000,3000
6a9d97bd8458,2828,2320
8059171b9129,2140,1760
3e4e741a8e3b,2485,2330
f7db21dea977,2802,2801
bba85cec6d26,3032,2520
8951eac18958,4248,3480
8f2960c590a4,3048,2536
035750d2cc67,3408,2800
4db2c7e03281,2832,2320
9e844dea386a,3050,2539
94eaa990b86e,2951,2961
815328f2379c,3052,2876
afb37f29165d,3006,3006
fa1a1dd477c2,3408,2800
5b5ab3fbd775,3028,3012
b14a867bff7b,4891,4020
4e1ed0596509,2836,2336
c6ab0406e7fb,3006,3006
1afce84b22ba,2430,2353
88e59bd72db6,3048,2536
94227dbdda42,2539,2942
674e9bd35d12,2872,2416
af058aa1db93,2836,2336
323d82ec4774,4240,3480
42c88918c2b1,2872,2416
ebe8a296c70d,4248,3480
e16764219a99,2827,2414
ad9edd906ff5,2836,2336
7b19472cc226,4248,3480
88d670980f81,2539,3050
948be419f05a,2646,2692
fd7ddd30d8dc,4891,4020
2d156fcdc54e,2992,2991
b6b631939d4f,3012,3052
c64bdc02f633,3032,3032
99a3c361f538,2836,2336
7cc4fe4fc67c,3020,3052
cadc1d0ace63,2012,2012
cdf2deb57f28,4256,3488
b108d323bcdc,2880,2540
9ab6a0902d00,3056,2544
b759b01b32fb,4256,3488
ea743e2eccf9,2979,2977
03f4cfb9345d,2977,2605
4cd88e837b59,2978,2938
6b16b46afc9f,4240,3480
2a0e69dfaa72,2832,2320
a7d0372ba917,4256,3488
16c9f1b33188,3032,2520
d72eee691860,4240,3480
4fbc954682e8,3056,2544
02366ec75168,2836,2336
f7037ff7c8b6,4256,3488
65c9e7d450e1,4240,3480
984e7d7d2787,4248,3480
71fee2b7ff69,3056,2544
b2862f8d1141,2832,2320
3a2f3146abe5,2991,2460
452e51b02c5a,3028,3052
01d83be76fbb,2986,2974
bf2417586cf2,3032,2520
f6d193531784,2936,2560
90eb642199b1,2022,2017
41bbf4072fe2,3050,2539
5807a187f396,4256,3488
95b239a10358,3032,2520
c9e5cb5ff695,2690,2290
b1c963b7c90a,2832,2320
fac01332e5f1,3488,3488
8b3da4f55cf0,3408,2800
c8ab098d23e0,3032,3032
001bd15d1891,3408,2800
e885aaec6e66,2832,2320
3f2743e23640,4248,3480
fc85d36ca465,4248,3480
fc863d9c4dc9,3408,2800
bbda11a8a365,2840,2866
c1d0431083fe,2816,2874
be68a3d6754d,3004,3012
263c477e8df6,4256,3488
d9bea6b28f9f,3408,2800
1aa5a0693b46,4248,3480
0c5283a41d9d,4248,3480
9f4e54eea5fe,1387,1140
da40edc06e4b,2802,2801
9f50edab452b,3408,2800
ee5b25fc720b,3235,2833
2a7181500a00,4256,3488
04f41a8958f7,3408,2490
2ffa902abb0c,4240,3480
e421afcab6f3,2832,2320
681914e0f60d,4248,3480
3f430ed95449,2496,2493
9b5846c01320,2249,2460
d9ed5faef270,4248,3480
f14c6029494a,2836,2336
ccccb7875b12,4248,3480
0ca52a9afa55,3032,2436
3818ea7d26b2,2846,2330
7e53a1e1f1be,4248,3480
badef4fafd45,2840,2874
75b19c70bbb4,4248,3480
7d8d55a80737,4240,3480
4c2e803d1015,3056,2544
646a6a0a9bf2,2917,2518
b98508598396,2832,2320
bf01283c2121,3052,2996
1f3aaf44de73,2140,1760
a2429a60f3ea,3133,2598
4cc42e634f49,1387,1140
ae236afd149b,2836,2336
16d85c7f7837,2561,2834
f7d09631e6dd,4240,3480
c6242c90cf2d,2846,2849
ad4e1c8350fb,3408,2800
a3d4029a671d,3133,2598
6564f55c1619,4240,3480
7e12aea6d397,2992,2991
a9704ce54780,2880,2540
59ea99e048aa,4240,3480
cf4c8fbc1f43,4240,3480
cabdf7ef7881,3000,2684
5a0ad476493b,2832,2320
c4b3482b0125,3056,2544
d3342a7c5454,4240,3480
851cf518efcc,2836,2336
e20ad06f6647,3032,2436
689e6d59255a,3052,3052
7c8c667f1510,4891,4020
7df10a4bb400,4256,3488
58a3240989aa,3032,2520
451181a24ccd,3408,2800
b4a77c2d03ce,3032,2520
b8b91a4f017a,4240,3480
9c0dd840479b,4256,3488
1dbd5e668d10,3056,2544
63fc59c183ee,3032,2520
d41ceaca90bc,2846,2330
cfc4fbf71766,3224,2487
9b4fdd3a6c98,2404,3052
1405cb173ab4,3012,3052
e1a5487d715c,2806,2334
ecd76b56b4c1,3050,2539
91b8ef5459fe,2140,1760
1b3dcbce0fa2,3480,4240
10e01acbb266,2848,2600
22d2fa33d2d1,2808,2818
39d186c9ff9c,2416,2901
3363bc54be86,2179,2095
a27cc5f99a18,2836,2336
fe52ee3b2a82,3032,2436
5dbf1f9ba0e9,3050,2539
46ac37aa5f34,4248,3480
f043bf82ee4e,2804,2336
6d80c35b8d4e,2836,2336
a16b4c54153c,4256,3488
374fe1b05022,2836,2336
e1c597bee679,2798,2801
6f70ea7aefe7,2872,2416
e352bb2b1afb,3056,2544
b642a2bf55d8,1228,1115
f780ade19383,3032,2520
8a108ed6eb35,3656,3114
a82bf3cc9727,3056,2544
c9f8fff624b9,2880,2400
a6271199f75f,2992,2991
243d91316626,4240,3480
f99c5ab805e5,4280,3520
5ce90616364e,3056,2544
30124d722883,3135,2870
a18eeacf287a,2846,2330
d644b6f2cbfa,4240,3480
1ed39b073256,3000,3000
e1f510dd50d5,2320,2828
fa9e53baa145,4256,3488
1968bef09ad3,2832,2320
49cbc9c84fac,2846,2330
4f7cb2b6dacc,4240,3480
9cf785a113a5,2760,2694
e704aebd4ca5,3032,2436
3b61e209092b,2836,2336
d55d4bf95360,2992,2991
32663bd94fbf,2917,2518
ab2ce44e1d5b,1387,1140
5ca05c257a11,2880,2400
d29fc13b0a11,4240,3480
dd24bff49c63,4248,3480
233c7f24c43e,3048,2536
9dcd0faf95bd,4248,3480
0286138dab9b,2428,2234
2ad6ea7e7941,2836,2336
b866020311f0,4240,3480
166735bbb8a8,2802,2801
241b3c090e2c,4240,3480
aa692e36993f,1387,1140
7148e124d7dd,3048,2536
ab55abb953d1,3056,2544
e3526d8978b6,3408,2800
0cf130895909,4240,3480
eb26cddff06a,2428,2428
899f219fd79b,2529,2233
926c8e7cd1cd,2914,2800
97202fd6e3b1,4240,3480
587ac363ab4a,2690,2667
32385ecafe4c,2828,2320
47ca26648618,4248,3480
96ef77785c24,4248,3480
6253b6f46b2b,2846,2330
7e12513a42fa,2836,2336
b388d75427fb,2846,2330
4de95edca8bb,2802,2801
acd6abf84731,2836,2336
949c554213c4,4240,3480
aeba4885d18a,2832,2320
c5b4731a60bb,2840,2580
1a0e966f2d57,3032,2436
3c04710914cd,2846,2330
2ca6fa018f86,2940,2980
37c3ad608cb3,2992,2991
4b32fd76e163,3408,2800
32bc4b819bf6,2836,2336
33c95dbfe335,3032,2436
9d8ccbfb99b7,2846,2330
9da650d46c0b,4240,3480
ef29cf6d3cb4,3056,2544
a5d628756358,3029,2551
77a9c4147012,3050,2374
b5b50d4ebe96,4256,3488
be055d308ab1,3066,2950
8496c434fa2b,2428,2234
52f97cad2b63,2836,2320
53569366dbaa,4248,3480
3fee3aeb386a,2836,2336
9e987cbededa,4256,3488
6e5946091b8a,2836,2320
08a68d025467,3040,2466
991756246f03,4240,3480
5ce5121a90b4,2996,3052
481cade38eff,3032,3032
5059f9a4a882,2846,2330
b386bcbb0490,4256,3488
1f19db085b1d,2836,2336
f5c79bb7fb7e,4240,3480
0449b62bc0b6,2962,2634
c5a479dcbc36,4248,3480
b8feccc22917,2992,2801
73cc6794cbb8,2320,2828
258fea606884,3032,3032
b4ec9b6e5da6,4256,3488
c77674444141,4248,3480
1fec7efb8da8,2140,1760
fa5f8d9acc5e,2840,2874
b66ed059a224,2950,3000
f7333f1c582f,3408,2800
eef9600e5493,4248,3480
a3be60b6c79c,4256,3488
